ITEM_ID,PRICE,CATEGORY_L1,TITLE,DESCRIPTION
1,15.00,Music,Guitar Tuner,"Lightly used clip-on guitar tuner. Works perfectly, battery included"
2,10.00,Clothing,Blue Jeans (Size 32),"Worn a few times. Still in good condition, no tears"
3,5.00,Books,Calculus 101,"Textbook in decent shape. Some highlighting inside"
4,120.00,Art,Hand-painted Canvas,"Landscape painting, 24x36 inches. Acrylics on canvas"
5,20.00,Beauty,Makeup Brush Set,"Set of 5 brushes. Barely used, clean and sanitized"
6,8.00,Music,Drumsticks (Pair),"Maple wood drumsticks. Light wear, but straight and balanced"
7,25.00,Clothing,Leather Jacket (M),"Black, lightly worn. No damage, comfortable lining"
8,12.00,Books,Introduction to Python,"Good condition. Helpful for beginners, few annotations"
9,80.00,Art,Pottery Vase,"Handmade, blue ceramic. Stands 12 inches tall, no chips"
10,7.00,Beauty,Nail Polish Set,"Set of 3 colors. Used once, almost full bottles"
11,55.00,Music,Headphones,"Over-ear headphones, noise-cancelling. Comes with case"
12,18.00,Clothing,Running Shoes (Size 9),"Gently used. Still have good tread, breathable material"
13,6.00,Books,History of Europe,"Light wear on the cover. Informative, some underlining"
14,65.00,Art,Sketchbook Set,"Includes 3 sketchbooks. High-quality paper, different sizes"
15,9.00,Beauty,Foundation (Beige),"Matte finish. Used once, not my shade, SPF 15"
16,22.00,Music,Flute Cleaner,"Brand new, unopened. Essential for maintaining flute hygiene"
17,30.00,Clothing,Sweater (Size L),"Grey, wool-blend. Warm and cozy, only worn twice"
18,10.00,Books,Database Concepts,"Good for SQL beginners. Slight wear on the edges"
19,90.00,Art,Metal Sculpture,"Abstract design, 18 inches tall. Handmade, perfect for desk"
20,15.00,Beauty,Lipstick Set,"Set of 4 shades. Matte finish, swatched only"
21,45.00,Music,Vinyl Record Collection,"5 classic rock albums. All in playable condition"
22,35.00,Clothing,Summer Dress (M),"Floral print, knee-length. Worn once, lightweight material"
23,14.00,Books,Astronomy 101,"Slightly used. Beautiful imagery, some margin notes"
24,110.00,Art,Watercolor Set,"Includes 24 colors. High-quality pigments, barely used"
25,10.00,Beauty,Hair Straightener,"Works perfectly. Ceramic plates, adjustable heat settings"
26,28.00,Music,Portable Speaker,"Bluetooth enabled. Good battery life, comes with charger"
27,40.00,Clothing,Designer Handbag,"Leather, lightly used. Spacious interior, sturdy straps"
28,8.00,Books,Philosophy Basics,"Cover wear. Thought-provoking content, clean pages"
29,75.00,Art,Framed Print,"Abstract design, 20x30 inches. Ready to hang, vibrant colors"
30,12.00,Beauty,Eyeshadow Palette,"Barely touched. 12 colors, mix of matte and shimmer"
31,100.00,Music,Keyboard,"Semi-weighted keys. Good condition, comes with stand"
32,20.00,Clothing,Boots (Size 7),"Black, ankle length. Some wear, but overall good condition"
33,7.00,Books,Introduction to Java,"Good for programming beginners. Lightly annotated"
34,130.00,Art,Stone Carving,"Elephant design, 10 inches tall. Handmade, smooth finish"
35,18.00,Beauty,Skin Care Set,"Includes cleanser and moisturizer. Suitable for oily skin"
36,17.00,Music,Capo,"Works for both guitars and ukuleles. Lightly used, sturdy grip"
37,23.00,Clothing,Rain Jacket (L),"Waterproof. Light green color, foldable hood"
38,9.00,Books,Literary Classics,"Collection of 3 novels. Some page yellowing, but readable"
39,85.00,Art,Handmade Jewelry Set,"Includes earrings and necklace. Turquoise beads"
40,16.00,Beauty,Perfume,"Sweet floral scent. 50ml bottle, sprayed a few times"
41,19.00,Music,Guitar Capo,"Quick-release design. Suitable for acoustic and electric guitars"
42,32.00,Clothing,Winter Scarf,"Wool, long and warm. Red and black pattern"
43,13.00,Books,Biology Textbook,"Used but clean. Informative diagrams, few highlights"
44,95.00,Art,Digital Art Tablet,"Pressure sensitive. Works well, comes with stylus"
45,20.00,Beauty,Face Mask Set,"Set of 5. Moisturizing and revitalizing, all sealed"
46,50.00,Music,Music Sheet Stand,"Adjustable height. Durable metal, foldable design"
47,27.00,Clothing,Denim Jacket (M),"Blue, lightly distressed. Comfort fit, good for layering"
48,11.00,Books,World History,"Hardcover. Comprehensive content, some corner wear"
49,105.00,Art,Leather Sketchbook,"High-quality paper. Hand-stitched, unlined"
50,14.00,Beauty,Mascara,"Black, volume boosting. Waterproof, new in box"
51,40.00,Music,Electronic Tuner,"Multiple instrument settings. Accurate, comes with batteries"
52,29.00,Clothing,Sunglasses,"UV protection. Black frames, no scratches"
53,15.00,Books,Physics for Dummies,"Easy to understand. Good condition, light annotations"
54,70.00,Art,Ceramic Bowl Set,"Set of 3. Hand-painted, safe for food use"
55,10.00,Beauty,Moisturizer,"Cream formula. Suitable for dry skin, 90% full"
56,12.00,Music,CD Collection,"5 pop albums. All in good condition with original cases"
57,21.00,Clothing,Yoga Pants (S),"Stretchy material. Black, high-waisted, lightly worn"
58,16.00,Books,Algorithms Unplugged,"Clean pages. Offers practical insight, minimal wear"
59,50.00,Art,Handmade Pottery Mug,"Blue and green glaze. Holds 16oz, microwave safe"
60,8.00,Beauty,Lip Balm Set,"Set of 3. Fruit flavors, all unopened"
61,22.00,Music,Metronome,"Digital, adjustable tempo. Essential for practice, like new"
62,33.00,Clothing,Ballet Flats (Size 8),"Leather, tan color. Worn a few times, comfy fit"
63,17.00,Books,Web Development Basics,"Covers HTML & CSS. Slight edge wear, no markings"
64,45.00,Art,Charcoal Drawing Set,"Includes various pencils. High-quality, barely used"
65,11.00,Beauty,Blush,"Soft pink shade. Pressed powder, swatched once"
66,30.00,Music,Ukulele Stand,"Sturdy wooden design. Foldable and portable, like new"
67,28.00,Clothing,Tie Collection,"Set of 5 ties. Various patterns, all in excellent condition"
68,20.00,Books,Data Structures Explained,"Hardcover. Pristine condition, no markings"
69,110.00,Art,Oil Painting Kit,"Includes 10 colors. High-quality brushes, new and unused"
70,25.00,Beauty,Hair Curler,"Ionic technology. Adjustable heat settings, barely used"
71,18.00,Music,Harmonica,"Key of C. Stainless steel, comes with case, lightly used"
72,24.00,Clothing,Hat and Scarf Set,"Wool, gray color. Warm and cozy, one-size-fits-all"
73,12.00,Books,Space Exploration,"Softcover. Rich imagery, minimal edge wear"
74,140.00,Art,Glass Blown Vase,"Handmade, 14 inches tall. Vibrant colors, unique design"
75,19.00,Beauty,Skincare Serum,"Vitamin C infused. New in box, suitable for all skin types"
76,15.00,Music,CD Case,"Can hold 48 CDs. Compact design, zipper closure, good condition"
77,34.00,Clothing,Linen Shirt (L),"White, button-down. Lightweight and breathable, barely worn"
78,21.00,Books,Fiction Novel Collection,"Set of 4 bestsellers. Light wear, enjoyable reads"
79,50.00,Art,Handcrafted Jewelry Box,"Wooden, intricate carvings. Velvet lining, lockable"
80,9.00,Beauty,Shampoo and Conditioner Set,"For dry hair. Organic ingredients, 85% full"
81,35.00,Music,Electronic Drum Pad,"Portable, touch-sensitive. USB connectivity, like new"
82,29.00,Clothing,Chino Pants (M),"Navy blue. Slim fit, lightly worn, no stains"
83,10.00,Books,Mobile App Development,"Up-to-date techniques. Softcover, highlighted sections"
84,89.00,Art,Ceramic Statue,"Elephant design, 14 inches. Hand-painted details, no chips"
85,13.00,Beauty,Makeup Remover,"Gentle formula. Suitable for sensitive skin, 90% left"
86,27.00,Music,Guitar Strings,"Set of 6. Acoustic, medium gauge, brand new"
87,26.00,Clothing,Belt Collection,"Set of 3. Leather and fabric, adjustable sizes"
88,14.00,Books,Business Management,"Ideal for aspiring entrepreneurs. Some notes in margins"
89,60.00,Art,Photography Print,"Mountain scene, 18x24 inches. Framed, ready to hang"
90,17.00,Beauty,Face Primer,"Silicone-based. Minimizes pores, used twice, nearly full"
